"","plotn","stage","date","time","temp","name","DateTime"
"1",2,2,2023-07-04,12:01:00,14.5,"plant",2023-07-04 12:01:00
"2",2,2,2023-07-04,14:01:00,11.5,"plant",2023-07-04 14:01:00
"3",2,2,2023-07-04,16:01:00,10.5,"plant",2023-07-04 16:01:00
"4",2,2,2023-07-04,18:01:00,9.5,"plant",2023-07-04 18:01:00
"5",2,2,2023-07-04,20:01:00,7,"plant",2023-07-04 20:01:00
"6",2,2,2023-07-04,22:01:00,5.5,"plant",2023-07-04 22:01:00
"7",2,2,2023-07-05,00:01:00,4,"plant",2023-07-05 00:01:00
"8",2,2,2023-07-05,02:01:00,4,"plant",2023-07-05 02:01:00
"9",2,2,2023-07-05,04:01:00,3.5,"plant",2023-07-05 04:01:00
"10",2,2,2023-07-05,06:01:00,2.5,"plant",2023-07-05 06:01:00
"11",2,2,2023-07-05,08:01:00,5.5,"plant",2023-07-05 08:01:00
"12",2,2,2023-07-05,10:01:00,9.5,"plant",2023-07-05 10:01:00
"13",2,2,2023-07-05,12:01:00,14,"plant",2023-07-05 12:01:00
"14",2,2,2023-07-05,14:01:00,14.5,"plant",2023-07-05 14:01:00
"15",2,2,2023-07-05,16:01:00,11.5,"plant",2023-07-05 16:01:00
"16",2,2,2023-07-05,18:01:00,9,"plant",2023-07-05 18:01:00
"17",2,2,2023-07-05,20:01:00,7,"plant",2023-07-05 20:01:00
"18",2,2,2023-07-05,22:01:00,6,"plant",2023-07-05 22:01:00
"19",2,2,2023-07-06,00:01:00,5,"plant",2023-07-06 00:01:00
"20",2,2,2023-07-06,02:01:00,5,"plant",2023-07-06 02:01:00
"21",2,2,2023-07-06,04:01:00,4.5,"plant",2023-07-06 04:01:00
"22",2,2,2023-07-06,06:01:00,4,"plant",2023-07-06 06:01:00
"23",2,2,2023-07-06,08:01:00,4.5,"plant",2023-07-06 08:01:00
"24",2,2,2023-07-06,10:01:00,7.5,"plant",2023-07-06 10:01:00
"25",2,2,2023-07-06,12:01:00,9.5,"plant",2023-07-06 12:01:00
"26",2,2,2023-07-06,14:01:00,12,"plant",2023-07-06 14:01:00
"27",2,2,2023-07-06,16:01:00,12.5,"plant",2023-07-06 16:01:00
"28",2,2,2023-07-06,18:01:00,9,"plant",2023-07-06 18:01:00
"29",2,2,2023-07-06,20:01:00,7,"plant",2023-07-06 20:01:00
"30",2,2,2023-07-06,22:01:00,6,"plant",2023-07-06 22:01:00
"31",2,2,2023-07-07,00:01:00,5.5,"plant",2023-07-07 00:01:00
"32",2,2,2023-07-07,02:01:00,5,"plant",2023-07-07 02:01:00
"33",2,2,2023-07-07,04:01:00,4,"plant",2023-07-07 04:01:00
"34",2,2,2023-07-07,06:01:00,4,"plant",2023-07-07 06:01:00
"35",2,2,2023-07-07,08:01:00,4.5,"plant",2023-07-07 08:01:00
"36",2,2,2023-07-07,10:01:00,7,"plant",2023-07-07 10:01:00
"37",2,2,2023-07-07,12:01:00,9,"plant",2023-07-07 12:01:00
"38",2,2,2023-07-07,14:01:00,11.5,"plant",2023-07-07 14:01:00
"39",2,2,2023-07-07,16:01:00,10.5,"plant",2023-07-07 16:01:00
"40",2,2,2023-07-07,18:01:00,8,"plant",2023-07-07 18:01:00
"41",2,2,2023-07-07,20:01:00,6.5,"plant",2023-07-07 20:01:00
"42",2,2,2023-07-07,22:01:00,6,"plant",2023-07-07 22:01:00
"43",2,2,2023-07-08,00:01:00,4,"plant",2023-07-08 00:01:00
"44",2,2,2023-07-08,02:01:00,2.5,"plant",2023-07-08 02:01:00
"45",2,2,2023-07-08,04:01:00,2,"plant",2023-07-08 04:01:00
"46",2,2,2023-07-08,06:01:00,1.5,"plant",2023-07-08 06:01:00
"47",2,2,2023-07-08,08:01:00,3,"plant",2023-07-08 08:01:00
"48",2,2,2023-07-08,10:01:00,6.5,"plant",2023-07-08 10:01:00
"49",2,2,2023-07-08,12:01:00,10,"plant",2023-07-08 12:01:00
"50",2,2,2023-07-08,14:01:00,10,"plant",2023-07-08 14:01:00
"51",2,2,2023-07-08,16:01:00,8.5,"plant",2023-07-08 16:01:00
"52",2,2,2023-07-08,18:01:00,7.5,"plant",2023-07-08 18:01:00
"53",2,2,2023-07-08,20:01:00,5.5,"plant",2023-07-08 20:01:00
"54",2,2,2023-07-08,22:01:00,4.5,"plant",2023-07-08 22:01:00
"55",2,2,2023-07-09,00:01:00,4.5,"plant",2023-07-09 00:01:00
"56",2,2,2023-07-09,02:01:00,4,"plant",2023-07-09 02:01:00
"57",2,2,2023-07-09,04:01:00,4,"plant",2023-07-09 04:01:00
"58",2,2,2023-07-09,06:01:00,2,"plant",2023-07-09 06:01:00
"59",2,2,2023-07-09,08:01:00,1.5,"plant",2023-07-09 08:01:00
"60",2,2,2023-07-09,10:01:00,1.5,"plant",2023-07-09 10:01:00
"61",2,2,2023-07-09,12:01:00,3,"plant",2023-07-09 12:01:00
"62",2,2,2023-07-09,14:01:00,5.5,"plant",2023-07-09 14:01:00
"63",2,2,2023-07-09,16:01:00,6,"plant",2023-07-09 16:01:00
"64",2,2,2023-07-09,18:01:00,5,"plant",2023-07-09 18:01:00
"65",2,2,2023-07-09,20:01:00,4,"plant",2023-07-09 20:01:00
"66",2,2,2023-07-09,22:01:00,3.5,"plant",2023-07-09 22:01:00
"67",2,2,2023-07-10,00:01:00,2.5,"plant",2023-07-10 00:01:00
"68",2,2,2023-07-10,02:01:00,2.5,"plant",2023-07-10 02:01:00
"69",2,2,2023-07-10,04:01:00,2.5,"plant",2023-07-10 04:01:00
"70",2,2,2023-07-10,06:01:00,2.5,"plant",2023-07-10 06:01:00
"71",2,2,2023-07-10,08:01:00,2.5,"plant",2023-07-10 08:01:00
"72",2,2,2023-07-10,10:01:00,4.5,"plant",2023-07-10 10:01:00
"73",2,2,2023-07-10,12:01:00,7,"plant",2023-07-10 12:01:00
"74",2,2,2023-07-10,14:01:00,8,"plant",2023-07-10 14:01:00
"75",2,2,2023-07-10,16:01:00,7.5,"plant",2023-07-10 16:01:00
"76",2,2,2023-07-10,18:01:00,6,"plant",2023-07-10 18:01:00
"77",2,2,2023-07-10,20:01:00,4,"plant",2023-07-10 20:01:00
"78",2,2,2023-07-10,22:01:00,3.5,"plant",2023-07-10 22:01:00
"79",2,2,2023-07-11,00:01:00,3,"plant",2023-07-11 00:01:00
"80",2,2,2023-07-11,02:01:00,3,"plant",2023-07-11 02:01:00
"81",2,2,2023-07-11,04:01:00,2,"plant",2023-07-11 04:01:00
"82",2,2,2023-07-11,06:01:00,2,"plant",2023-07-11 06:01:00
"83",2,2,2023-07-11,08:01:00,3,"plant",2023-07-11 08:01:00
"84",2,2,2023-07-11,10:01:00,3.5,"plant",2023-07-11 10:01:00
"85",2,2,2023-07-11,12:01:00,5,"plant",2023-07-11 12:01:00
"86",2,2,2023-07-11,14:01:00,6,"plant",2023-07-11 14:01:00
"87",2,2,2023-07-11,16:01:00,6,"plant",2023-07-11 16:01:00
"88",2,2,2023-07-11,18:01:00,5,"plant",2023-07-11 18:01:00
"89",2,2,2023-07-11,20:01:00,3.5,"plant",2023-07-11 20:01:00
"90",2,2,2023-07-11,22:01:00,3,"plant",2023-07-11 22:01:00
"91",2,2,2023-07-12,00:01:00,2,"plant",2023-07-12 00:01:00
"92",2,2,2023-07-12,02:01:00,2.5,"plant",2023-07-12 02:01:00
"93",2,2,2023-07-12,04:01:00,2.5,"plant",2023-07-12 04:01:00
"94",2,2,2023-07-12,06:01:00,2.5,"plant",2023-07-12 06:01:00
"95",2,2,2023-07-12,08:01:00,3,"plant",2023-07-12 08:01:00
"96",2,2,2023-07-12,10:01:00,5,"plant",2023-07-12 10:01:00
"97",2,2,2023-07-12,12:01:00,6.5,"plant",2023-07-12 12:01:00
"98",2,2,2023-07-12,14:01:00,6.5,"plant",2023-07-12 14:01:00
"99",2,2,2023-07-12,16:01:00,7.5,"plant",2023-07-12 16:01:00
"100",2,2,2023-07-12,18:01:00,6,"plant",2023-07-12 18:01:00
"101",2,2,2023-07-12,20:01:00,4,"plant",2023-07-12 20:01:00
"102",2,2,2023-07-12,22:01:00,3.5,"plant",2023-07-12 22:01:00
"103",2,2,2023-07-13,00:01:00,3.5,"plant",2023-07-13 00:01:00
"104",2,2,2023-07-13,02:01:00,3,"plant",2023-07-13 02:01:00
"105",2,2,2023-07-13,04:01:00,3,"plant",2023-07-13 04:01:00
"106",2,2,2023-07-13,06:01:00,2.5,"plant",2023-07-13 06:01:00
"107",2,2,2023-07-13,08:01:00,2.5,"plant",2023-07-13 08:01:00
"108",2,2,2023-07-13,10:01:00,5,"plant",2023-07-13 10:01:00
"109",2,2,2023-07-13,12:01:00,6.5,"plant",2023-07-13 12:01:00
"110",2,2,2023-07-13,14:01:00,7.5,"plant",2023-07-13 14:01:00
"111",2,2,2023-07-13,16:01:00,8,"plant",2023-07-13 16:01:00
