day,time,plot,stage,richness,plantago,vegvol,airvol,ch4,ch4day,ch4night,airtemp,soiltemp,rh,dew,subsoil,subsoilw,Radiation (W/M2),,,,radiation,,,,,,,,
7/4/23,10:00:00 AM,P1 UNC,3,9,7.286,"12,536","57,835",2.61E-09,2.74E-09,2.47E-09,11.7,6.9,80.4,8.6,0.89,1.26,313,287,301,349,312.5,,,,,,,,
7/4/23,10:00:00 AM,p2 UNC,2,11,4.65,"10,786.07",59585,5.94E-09,5.69E-09,6.18E-09,10.2,6.7,85.2,10.6,0.83,1.23,397,471,564,457,472.25,,,,,,,,
7/4/23,10:00:00 AM,p3 UNC,1,6,143.138,8168.095,64716.445,5.96E-09,5.99E-09,5.93E-09,12.2,7.4,84.9,10.6,0.23,0.93,240,248,210,246,236,,,,,,,,
7/4/23,10:00:00 AM,P4 UNC,2,9,115.136,8168.095,65973.075,3.95E-09,3.55E-09,4.34E-09,14.8,7.3,80,9.6,0.46,1.07,372,330,336,309,336.75,,,,,,,,
7/4/23,10:00:00 AM,p5 UNC,1,8,138.802,"10,053.04",62831.5,3.42E-09,4.34E-09,2.50E-09,11.4,7.1,82.6,10.5,0.98,1.3,333,730,731,1263,764.25,,,,,,,,
7/4/23,10:00:00 AM,p7 UNC,3,9,12.603,5026.52,678858,5.40E-08,1.07E-07,1.03E-09,7.9,7.3,85.4,13.2,0.23,0.83,450,442,446,455,448.25,,,,,,,,
7/6/23,10:40:00 AM,p8 UNC,1,5,154.486,9215.29,"61,156",6.32E-09,6.55E-09,6.09E-09,8.6,8.2,86.3,5.5,0.18,0.9,183,185,202,209,194.75,,,,,,,,
7/6/23,10:40:00 AM,p9 UNC,3,10,18.774,4398.21,"71,000",1.66E-07,1.75E-07,1.56E-07,7.3,7.1,88.1,6.2,0.21,0.97,302,333,348,308,322.75,,,,,,,,
7/6/23,10:40:00 AM,p10 UNC,2,3,152.607,9424.73,"65,973.07",1.39E-09,1.24E-09,1.53E-09,7.4,7.6,88.1,5.8,0.22,0.93,324,285,262,319,297.5,,,,,,,,
7/6/23,10:40:00 AM,p11 UNC,1,3,154.486,2303.82,65554.2,7.86E-09,8.31E-09,7.40E-09,8.5,8.5,89.1,7.1,0.21,0.92,182,243,228,220,218.25,,,,,,,,
7/6/23,10:40:00 AM,p14 UNC,3,16,4.133,10681.36,62203.18,5.55E-08,5.60E-08,5.49E-08,10.7,8.6,86.5,8,0.25,0.95,355,291,252,229,281.75,,,,,,,,
7/11/23,8:30:00 AM,P12 UNC,3,3,154.486,10681.36,62203.18,-5.06E-07,6.80E-08,-1.08E-06,5.4,5.5,87.2,2.7,0.1,0.85,69,109,95,78,87.75,,,,,,,,
7/11/23,8:30:00 AM,p7 UNC,3,9,12.603,3141.5,72256.3,1.10E-08,2.33E-09,1.96E-08,4.7,5.8,85,1.7,0.19,0.91,62,55,51,56,56,,,,,,,,
7/11/23,8:30:00 AM,p8 UNC,1,5,154.486,"9,215",61156,-6.88E-10,-4.22E-10,-9.53E-10,3.6,6.6,90.9,2.1,0.16,0.89,66,78,90,90,81,,,,,,,,
7/11/23,8:30:00 AM,p9 UNC,3,10,18.774,"2,722.70",67648.6,3.66E-09,1.29E-09,6.02E-09,3.8,5.3,91.9,2.6,0.23,0.93,150,154,118,98,130,,,,,,,,
7/13/23,11:14:00 AM,p12 UNC,3,3,154.486,2303.82,65554.2,9.61E-09,9.28E-09,9.94E-09,6.2,6.5,87.3,4.4,0.28,0.97,206,211,205,206,207,,,,,,,,
7/13/23,11:20:00 AM,P1 UNC,3,9,7.286,12536,57835,4.60E-09,5.27E-09,3.93E-09,6.8,5.7,87.7,4.1,0.32,0.99,309,369,292,250,305,,,,,,,,
7/13/23,11:45:00 AM,P4 UNC,2,9,115.136,8168.09,65973.075,5.78E-09,5.84E-09,5.72E-09,6,6.3,87.7,5.1,0.4,1.03,404,383,375,,387.3333333,,,,,,,,
7/13/23,11:56:00 AM,p3 UNC,1,6,143.138,8168,64176,5.67E-09,5.75E-09,5.59E-09,5.8,6.1,89,5.3,0.56,1.12,249,301,271,266,271.75,,,,,,,,
