day,time,plot,stage,richness,plantago,vegvol,airvol,NEEs,ERs,NEEh,ERh,GPPh,co2day,co2night,airtemp,soiltemp,rh,dew,subsoil,subsoilw,radiation,,,,,
7/4/23,10:00:00 AM,p1 UNC,3,9,2.815,12536,57835,-2.51E-06,5.36E-06,-0.3979,0.8491,-1.247,-2.51E-06,5.36E-06,11.7,6.9,80.4,8.6,0.89,1.26,312.5,,,,,
7/4/23,10:00:00 AM,p2 UNC,2,11,48.943,10786,59585,-4.87E-06,5.30E-06,-0.7723,0.8397,-1.612,-4.87E-06,5.30E-06,10.2,6.7,85.2,10.6,0.83,1.23,472.25,,,,,
7/4/23,10:00:00 AM,p3 UNC,1,6,135.012,8168,64176,1.17E-06,7.89E-06,0.1857,1.2498,-1.0641,1.17E-06,7.89E-06,12.2,7.4,84.9,10.6,0.23,0.93,236,,,,,
7/4/23,10:00:00 AM,p4 UNC,2,9,107.349,4920,66706,-5.41E-06,5.88E-06,-0.8568,0.931,-1.7878,-5.41E-06,5.88E-06,14.8,7.3,80,9.6,0.46,1.07,336.75,,,,,
7/4/23,10:00:00 AM,p5 UNC,1,8,123.533,10053,62831,5.88E-06,6.56E-06,0.931,1.039,-0.108,5.86E-06,6.56E-06,11.4,7.1,82.6,10.5,0.98,1.3,764.25,,,,,
7/4/23,10:00:00 AM,p6 UNC,2,16,24.555,2930,72.467,9.41E-07,5.55E-06,0.149,0.8786,-0.7296,9.41E-07,5.55E-06,15,6.9,83.6,14.3,0.09,1.18,453.75,,,,,
7/6/23,10:40:00 AM,p8 UNC,1,5,149.549,9215.29,"61,156",-1.40E-06,3.93E-06,-0.2222,0.6233,-0.8455,-1.40E-06,3.93E-06,8.6,8.2,86.3,5.5,0.18,0.9,194.75,,,,,
7/6/23,10:40:00 AM,p11 UNC,1,3,125.296,9424,65973,-3.59E-06,4.46E-06,-0.5684,0.7067,-1.2751,-3.54E-06,4.46E-06,7.4,7.6,88.1,5.8,0.22,0.93,296.25,,,,,
7/6/23,10:40:00 AM,p12 UNC,1,3,153.94,2303,65554,-3.81E-06,6.11E-06,-0.6038,0.9674,-1.5712,-3.81E-06,6.11E-06,8.5,8.5,89.1,7.1,0.21,0.92,218.25,,,,,
7/6/23,10:40:00 AM,p14 UNC,3,16,1.395,10681,62203,-2.99E-06,3.97E-06,-0.4737,0.6285,-1.1022,-2.99E-06,3.97E-06,10.7,8.6,86.5,8,0.25,0.95,281.75,,,,,
7/11/23,8:30:00 AM,p8 UNC,1,5,149.549,"9,215",61156,8.49E-08,1.87E-06,0.0135,0.2963,-0.2828,8.49E-08,1.87E-06,3.6,6.6,90.9,2.1,0.16,0.89,81,,,,,
7/11/23,8:30:00 AM,p9 UNC,3,10,15.795,2722,67648,-6.00E-06,-1.67E-09,-0.9506,-0.0003,-0.9503,-6.00E-06,-1.67E-09,3.8,5.3,91.9,2.6,0.23,0.93,130,,,,,
7/13/23,11:14:00 AM,p12 UNC,1,3,153.94,2303,65554,-4.04E-06,3.77E-06,-0.6401,0.5973,-1.2374,-4.04E-06,3.77E-06,6.2,6.5,87.3,4.4,0.28,0.97,207,,,,,
7/13/23,11:20:00 AM,p1 UNC,3,9,2.815,12536,57835,-3.74E-06,2.77E-06,-0.5925,0.4389,-1.0314,-3.74E-06,2.77E-06,6.8,5.7,87.7,4.1,0.32,0.99,305,,,,,
7/13/23,11:45:00 AM,p4 UNC,2,9,107.349,4920,66706,-6.87E-06,2.36E-06,-1.0884,0.3739,-1.4623,-6.87E-06,2.36E-06,6,6.3,87.7,5.1,0.4,1.03,387.3,,,,,
7/13/23,11:56:00 AM,p3 UNC,1,6,135.012,8168,64176,-3.48E-06,4.07E-06,-0.5513,0.6448,-1.1962,-3.48E-06,4.07E-06,5.8,6.1,89,5.3,0.56,1.12,271.75,,,,,
7/13/23,12:07:00 PM,p5 UNC,1,8,123.533,10053,62831,-5.17E-06,3.47E-06,-0.8191,0.5498,-1.3689,-5.17E-06,3.47E-06,6.1,6.2,88.3,4.4,0.59,0.12,403.5,,,,,
