Serial_number:
2020431
Project ID:

Location:
AcrossFromLake_Lower
AcrossFromLake_Lower
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,AcrossFromLake_Lower,TEMPERATURE
11/19/2022,02:45:00 pm,0,69.8236,8.522
11/19/2022,03:00:00 pm,0,69.6695,7.100
11/19/2022,03:15:00 pm,0,69.6484,6.916
11/19/2022,03:30:00 pm,0,69.6359,6.851
11/19/2022,03:45:00 pm,0,69.6214,6.818
11/19/2022,04:00:00 pm,0,69.6094,6.799
11/19/2022,04:15:00 pm,0,69.6196,6.786
11/19/2022,04:30:00 pm,0,69.6163,6.777
11/19/2022,04:45:00 pm,0,69.6101,6.771
11/19/2022,05:00:00 pm,0,69.6075,6.766
11/19/2022,05:15:00 pm,0,69.6232,6.762
11/19/2022,05:30:00 pm,0,69.6452,6.759
11/19/2022,05:45:00 pm,0,69.6384,6.757
11/19/2022,06:00:00 pm,0,69.6518,6.755
11/19/2022,06:15:00 pm,0,69.6529,6.754
11/19/2022,06:30:00 pm,0,69.6552,6.753
11/19/2022,06:45:00 pm,0,69.6592,6.752
11/19/2022,07:00:00 pm,0,69.6736,6.752
11/19/2022,07:15:00 pm,0,69.6827,6.751
11/19/2022,07:30:00 pm,0,69.6863,6.750
11/19/2022,07:45:00 pm,0,69.6960,6.750
11/19/2022,08:00:00 pm,0,69.6964,6.750
11/19/2022,08:15:00 pm,0,69.7063,6.749
11/19/2022,08:30:00 pm,0,69.7218,6.749
11/19/2022,08:45:00 pm,0,69.7287,6.749
11/19/2022,09:00:00 pm,0,69.7437,6.749
11/19/2022,09:15:00 pm,0,69.7617,6.749
11/19/2022,09:30:00 pm,0,69.7712,6.749
11/19/2022,09:45:00 pm,0,69.7845,6.749
11/19/2022,10:00:00 pm,0,69.7793,6.750
11/19/2022,10:15:00 pm,0,69.7684,6.750
11/19/2022,10:30:00 pm,0,69.7711,6.749
11/19/2022,10:45:00 pm,0,69.7691,6.749
11/19/2022,11:00:00 pm,0,69.7587,6.750
11/19/2022,11:15:00 pm,0,69.7606,6.749
11/19/2022,11:30:00 pm,0,69.7440,6.750
11/19/2022,11:45:00 pm,0,69.7370,6.750
11/20/2022,12:00:00 am,0,69.7188,6.750
11/20/2022,12:15:00 am,0,69.6979,6.750
11/20/2022,12:30:00 am,0,69.6784,6.750
11/20/2022,12:45:00 am,0,69.6729,6.750
11/20/2022,01:00:00 am,0,69.6709,6.750
11/20/2022,01:15:00 am,0,69.6530,6.750
11/20/2022,01:30:00 am,0,69.6383,6.751
11/20/2022,01:45:00 am,0,69.6245,6.751
11/20/2022,02:00:00 am,0,69.6106,6.752
11/20/2022,02:15:00 am,0,69.5864,6.751
11/20/2022,02:30:00 am,0,69.5600,6.752
11/20/2022,02:45:00 am,0,69.5568,6.752
11/20/2022,03:00:00 am,0,69.5506,6.752
11/20/2022,03:15:00 am,0,69.5335,6.752
11/20/2022,03:30:00 am,0,69.5366,6.752
11/20/2022,03:45:00 am,0,69.5323,6.752
11/20/2022,04:00:00 am,0,69.5214,6.752
11/20/2022,04:15:00 am,0,69.5338,6.753
11/20/2022,04:30:00 am,0,69.5482,6.753
11/20/2022,04:45:00 am,0,69.5685,6.753
11/20/2022,05:00:00 am,0,69.5779,6.753
11/20/2022,05:15:00 am,0,69.5877,6.753
11/20/2022,05:30:00 am,0,69.5930,6.753
11/20/2022,05:45:00 am,0,69.6003,6.753
11/20/2022,06:00:00 am,0,69.6066,6.754
11/20/2022,06:15:00 am,0,69.6218,6.754
11/20/2022,06:30:00 am,0,69.6296,6.754
11/20/2022,06:45:00 am,0,69.6417,6.754
11/20/2022,07:00:00 am,0,69.6721,6.754
11/20/2022,07:15:00 am,0,69.6921,6.754
11/20/2022,07:30:00 am,0,69.7073,6.754
11/20/2022,07:45:00 am,0,69.7219,6.754
11/20/2022,08:00:00 am,0,69.7347,6.755
11/20/2022,08:15:00 am,0,69.7314,6.754
11/20/2022,08:30:00 am,0,69.7417,6.754
11/20/2022,08:45:00 am,0,69.7448,6.755
11/20/2022,09:00:00 am,0,69.7625,6.755
11/20/2022,09:15:00 am,0,69.7671,6.755
11/20/2022,09:30:00 am,0,69.7708,6.755
11/20/2022,09:45:00 am,0,69.7736,6.755
11/20/2022,10:00:00 am,0,69.7764,6.755
11/20/2022,10:15:00 am,0,69.7705,6.756
11/20/2022,10:30:00 am,0,69.7670,6.756
11/20/2022,10:45:00 am,0,69.7582,6.756
11/20/2022,11:00:00 am,0,69.7520,6.756
11/20/2022,11:15:00 am,0,69.7516,6.757
11/20/2022,11:30:00 am,0,69.7369,6.756
11/20/2022,11:45:00 am,0,69.7231,6.757
11/20/2022,12:00:00 pm,0,69.7044,6.756
11/20/2022,12:15:00 pm,0,69.6792,6.757
11/20/2022,12:30:00 pm,0,69.6509,6.757
11/20/2022,12:45:00 pm,0,69.6297,6.756
11/20/2022,01:00:00 pm,0,69.6108,6.757
11/20/2022,01:15:00 pm,0,69.5831,6.757
11/20/2022,01:30:00 pm,0,69.5610,6.757
11/20/2022,01:45:00 pm,0,69.5403,6.757
11/20/2022,02:00:00 pm,0,69.5155,6.758
11/20/2022,02:15:00 pm,0,69.5093,6.758
11/20/2022,02:30:00 pm,0,69.4980,6.758
11/20/2022,02:45:00 pm,0,69.4896,6.758
11/20/2022,03:00:00 pm,0,69.4743,6.758
11/20/2022,03:15:00 pm,0,69.4778,6.758
11/20/2022,03:30:00 pm,0,69.5736,6.758
11/20/2022,03:45:00 pm,0,69.6691,6.757
11/20/2022,04:00:00 pm,0,69.8091,6.758
11/20/2022,04:15:00 pm,0,70.0762,6.758
11/20/2022,04:30:00 pm,0,70.1578,6.758
11/20/2022,04:45:00 pm,0,70.1748,6.759
11/20/2022,05:00:00 pm,0,70.1926,6.758
11/20/2022,05:15:00 pm,0,70.2049,6.758
11/20/2022,05:30:00 pm,0,70.2329,6.758
11/20/2022,05:45:00 pm,0,70.2594,6.758
11/20/2022,06:00:00 pm,0,70.3427,6.758
11/20/2022,06:15:00 pm,0,70.4789,6.758
11/20/2022,06:30:00 pm,0,70.5590,6.759
11/20/2022,06:45:00 pm,0,70.6079,6.759
11/20/2022,07:00:00 pm,0,70.6460,6.759
11/20/2022,07:15:00 pm,0,70.6815,6.759
11/20/2022,07:30:00 pm,0,70.6906,6.759
11/20/2022,07:45:00 pm,0,70.7041,6.759
11/20/2022,08:00:00 pm,0,70.7219,6.759
11/20/2022,08:15:00 pm,0,70.7413,6.759
11/20/2022,08:30:00 pm,0,70.7465,6.759
11/20/2022,08:45:00 pm,0,70.7513,6.759
11/20/2022,09:00:00 pm,0,70.7461,6.759
11/20/2022,09:15:00 pm,0,70.7385,6.760
11/20/2022,09:30:00 pm,0,70.7316,6.759
11/20/2022,09:45:00 pm,0,70.7228,6.759
11/20/2022,10:00:00 pm,0,70.7165,6.760
11/20/2022,10:15:00 pm,0,70.7090,6.759
11/20/2022,10:30:00 pm,0,70.6919,6.760
11/20/2022,10:45:00 pm,0,70.6698,6.760
11/20/2022,11:00:00 pm,0,70.6632,6.760
11/20/2022,11:15:00 pm,0,70.6503,6.760
11/20/2022,11:30:00 pm,0,70.6363,6.760
11/20/2022,11:45:00 pm,0,70.6279,6.760
11/21/2022,12:00:00 am,0,70.6173,6.759
11/21/2022,12:15:00 am,0,70.5999,6.759
11/21/2022,12:30:00 am,0,70.5744,6.760
11/21/2022,12:45:00 am,0,70.5482,6.760
11/21/2022,01:00:00 am,0,70.5225,6.760
11/21/2022,01:15:00 am,0,70.5027,6.760
11/21/2022,01:30:00 am,0,70.4877,6.760
11/21/2022,01:45:00 am,0,70.4656,6.760
11/21/2022,02:00:00 am,0,70.4567,6.760
11/21/2022,02:15:00 am,0,70.4523,6.760
11/21/2022,02:30:00 am,0,70.4291,6.760
11/21/2022,02:45:00 am,0,70.4033,6.760
11/21/2022,03:00:00 am,0,70.3937,6.760
11/21/2022,03:15:00 am,0,70.3763,6.759
11/21/2022,03:30:00 am,0,70.3622,6.758
11/21/2022,03:45:00 am,0,70.3522,6.756
11/21/2022,04:00:00 am,0,70.3607,6.755
11/21/2022,04:15:00 am,0,70.3547,6.754
11/21/2022,04:30:00 am,0,70.3558,6.752
11/21/2022,04:45:00 am,0,70.3576,6.748
11/21/2022,05:00:00 am,0,70.3586,6.743
11/21/2022,05:15:00 am,0,70.3568,6.733
11/21/2022,05:30:00 am,0,70.3582,6.715
11/21/2022,05:45:00 am,0,70.3612,6.699
11/21/2022,06:00:00 am,0,70.3663,6.691
11/21/2022,06:15:00 am,0,70.3751,6.665
11/21/2022,06:30:00 am,0,70.3932,6.651
11/21/2022,06:45:00 am,0,70.4005,6.640
11/21/2022,07:00:00 am,0,70.4131,6.624
11/21/2022,07:15:00 am,0,70.4191,6.616
