plotn,stage,date,time,temp
2,2,7/4/2023,12:01:00,14.5
2,2,7/4/2023,14:01:00,11.5
2,2,7/4/2023,16:01:00,10.5
2,2,7/4/2023,18:01:00,9.5
2,2,7/4/2023,20:01:00,7
2,2,7/4/2023,22:01:00,5.5
2,2,7/5/2023,0:01:00,4
2,2,7/5/2023,2:01:00,4
2,2,7/5/2023,4:01:00,3.5
2,2,7/5/2023,6:01:00,2.5
2,2,7/5/2023,8:01:00,5.5
2,2,7/5/2023,10:01:00,9.5
2,2,7/5/2023,12:01:00,14
2,2,7/5/2023,14:01:00,14.5
2,2,7/5/2023,16:01:00,11.5
2,2,7/5/2023,18:01:00,9
2,2,7/5/2023,20:01:00,7
2,2,7/5/2023,22:01:00,6
2,2,7/6/2023,0:01:00,5
2,2,7/6/2023,2:01:00,5
2,2,7/6/2023,4:01:00,4.5
2,2,7/6/2023,6:01:00,4
2,2,7/6/2023,8:01:00,4.5
2,2,7/6/2023,10:01:00,7.5
2,2,7/6/2023,12:01:00,9.5
2,2,7/6/2023,14:01:00,12
2,2,7/6/2023,16:01:00,12.5
2,2,7/6/2023,18:01:00,9
2,2,7/6/2023,20:01:00,7
2,2,7/6/2023,22:01:00,6
2,2,7/7/2023,0:01:00,5.5
2,2,7/7/2023,2:01:00,5
2,2,7/7/2023,4:01:00,4
2,2,7/7/2023,6:01:00,4
2,2,7/7/2023,8:01:00,4.5
2,2,7/7/2023,10:01:00,7
2,2,7/7/2023,12:01:00,9
2,2,7/7/2023,14:01:00,11.5
2,2,7/7/2023,16:01:00,10.5
2,2,7/7/2023,18:01:00,8
2,2,7/7/2023,20:01:00,6.5
2,2,7/7/2023,22:01:00,6
2,2,7/8/2023,0:01:00,4
2,2,7/8/2023,2:01:00,2.5
2,2,7/8/2023,4:01:00,2
2,2,7/8/2023,6:01:00,1.5
2,2,7/8/2023,8:01:00,3
2,2,7/8/2023,10:01:00,6.5
2,2,7/8/2023,12:01:00,10
2,2,7/8/2023,14:01:00,10
2,2,7/8/2023,16:01:00,8.5
2,2,7/8/2023,18:01:00,7.5
2,2,7/8/2023,20:01:00,5.5
2,2,7/8/2023,22:01:00,4.5
2,2,7/9/2023,0:01:00,4.5
2,2,7/9/2023,2:01:00,4
2,2,7/9/2023,4:01:00,4
2,2,7/9/2023,6:01:00,2
2,2,7/9/2023,8:01:00,1.5
2,2,7/9/2023,10:01:00,1.5
2,2,7/9/2023,12:01:00,3
2,2,7/9/2023,14:01:00,5.5
2,2,7/9/2023,16:01:00,6
2,2,7/9/2023,18:01:00,5
2,2,7/9/2023,20:01:00,4
2,2,7/9/2023,22:01:00,3.5
2,2,7/10/2023,0:01:00,2.5
2,2,7/10/2023,2:01:00,2.5
2,2,7/10/2023,4:01:00,2.5
2,2,7/10/2023,6:01:00,2.5
2,2,7/10/2023,8:01:00,2.5
2,2,7/10/2023,10:01:00,4.5
2,2,7/10/2023,12:01:00,7
2,2,7/10/2023,14:01:00,8
2,2,7/10/2023,16:01:00,7.5
2,2,7/10/2023,18:01:00,6
2,2,7/10/2023,20:01:00,4
2,2,7/10/2023,22:01:00,3.5
2,2,7/11/2023,0:01:00,3
2,2,7/11/2023,2:01:00,3
2,2,7/11/2023,4:01:00,2
2,2,7/11/2023,6:01:00,2
2,2,7/11/2023,8:01:00,3
2,2,7/11/2023,10:01:00,3.5
2,2,7/11/2023,12:01:00,5
2,2,7/11/2023,14:01:00,6
2,2,7/11/2023,16:01:00,6
2,2,7/11/2023,18:01:00,5
2,2,7/11/2023,20:01:00,3.5
2,2,7/11/2023,22:01:00,3
2,2,7/12/2023,0:01:00,2
2,2,7/12/2023,2:01:00,2.5
2,2,7/12/2023,4:01:00,2.5
2,2,7/12/2023,6:01:00,2.5
2,2,7/12/2023,8:01:00,3
2,2,7/12/2023,10:01:00,5
2,2,7/12/2023,12:01:00,6.5
2,2,7/12/2023,14:01:00,6.5
2,2,7/12/2023,16:01:00,7.5
2,2,7/12/2023,18:01:00,6
2,2,7/12/2023,20:01:00,4
2,2,7/12/2023,22:01:00,3.5
2,2,7/13/2023,0:01:00,3.5
2,2,7/13/2023,2:01:00,3
2,2,7/13/2023,4:01:00,3
2,2,7/13/2023,6:01:00,2.5
2,2,7/13/2023,8:01:00,2.5
2,2,7/13/2023,10:01:00,5
2,2,7/13/2023,12:01:00,6.5
2,2,7/13/2023,14:01:00,7.5
2,2,7/13/2023,16:01:00,8
2,2,7/13/2023,18:01:00,6
2,2,7/13/2023,20:01:00,4.5
2,2,7/13/2023,22:01:00,4
2,2,7/14/2023,0:01:00,3.5
2,2,7/14/2023,2:01:00,3.5
2,2,7/14/2023,4:01:00,3
2,2,7/14/2023,6:01:00,2.5
2,2,7/14/2023,8:01:00,3
2,2,7/14/2023,10:01:00,4
2,2,7/14/2023,12:01:00,5.5
2,2,7/14/2023,14:01:00,6.5
2,2,7/14/2023,16:01:00,8
2,2,7/14/2023,18:01:00,7
2,2,7/14/2023,20:01:00,5
2,2,7/14/2023,22:01:00,3.5
2,2,7/15/2023,0:01:00,3
2,2,7/15/2023,2:01:00,3
2,2,7/15/2023,4:01:00,3
2,2,7/15/2023,6:01:00,3
2,2,7/15/2023,8:01:00,3.5
2,2,7/15/2023,10:01:00,5
2,2,7/15/2023,12:01:00,6
2,2,7/15/2023,14:01:00,8
2,2,7/15/2023,16:01:00,9.5
2,2,7/15/2023,18:01:00,7.5
2,2,7/15/2023,20:01:00,5.5
2,2,7/15/2023,22:01:00,4.5
2,2,7/16/2023,0:01:00,4
2,2,7/16/2023,2:01:00,3.5
2,2,7/16/2023,4:01:00,3.5
2,2,7/16/2023,6:01:00,3
2,2,7/16/2023,8:01:00,3.5
2,2,7/16/2023,10:01:00,4.5
2,2,7/16/2023,12:01:00,5.5
2,2,7/16/2023,14:01:00,7
2,2,7/16/2023,16:01:00,8
2,2,7/16/2023,18:01:00,5.5
2,2,7/16/2023,20:01:00,4.5
2,2,7/16/2023,22:01:00,4
2,2,7/17/2023,0:01:00,3.5
2,2,7/17/2023,2:01:00,3
2,2,7/17/2023,4:01:00,3
2,2,7/17/2023,6:01:00,3
2,2,7/17/2023,8:01:00,3.5
2,2,7/17/2023,10:01:00,5
2,2,7/17/2023,12:01:00,6.5
2,2,7/17/2023,14:01:00,7
2,2,7/17/2023,16:01:00,7.5
2,2,7/17/2023,18:01:00,5.5
2,2,7/17/2023,20:01:00,4.5
2,2,7/17/2023,22:01:00,4
2,2,7/18/2023,0:01:00,3.5
2,2,7/18/2023,2:01:00,3
2,2,7/18/2023,4:01:00,3
2,2,7/18/2023,6:01:00,3
2,2,7/18/2023,8:01:00,3
2,2,7/18/2023,10:01:00,3
2,2,7/18/2023,12:01:00,5.5
2,2,7/18/2023,14:01:00,6.5
2,2,7/18/2023,16:01:00,6.5
2,2,7/18/2023,18:01:00,4.5
2,2,7/18/2023,20:01:00,3.5
2,2,7/18/2023,22:01:00,3
2,2,7/19/2023,0:01:00,2
2,2,7/19/2023,2:01:00,1.5
2,2,7/19/2023,4:01:00,1
2,2,7/19/2023,6:01:00,1
2,2,7/19/2023,8:01:00,1.5
2,2,7/19/2023,10:01:00,3.5
